refset;bp distance;Recall snps;Recall genes;ROC-AUC overall (lso);ROC-AUC - mean per snpl (lso);Hits@1(lso);Hits@3(lso);Hits@5(lso);Hits@10(lso);Mean rank (lso);Median rank (lso);Mean number of candidates for every SNP;Median number of candidates for every SNP;Min number of candidates for every SNP;Max number of candidates for every SNP
farashi;100;58,0;59,0;79,97759594778881;0,7478058818576062;31,0;56,0;59,0;59,0;1,694915254237288;1,0;4,017241379310345;3,0;1,0;14,0
farashi;500;145,0;156,0;75,58349050249224;0,6639151780482636;40,0;88,0;109,0;124,0;7,128205128205129;3,0;16,82758620689655;12,0;1,0;62,0
farashi;1000;190,0;204,0;78,60436971709504;0,6993294396768271;44,0;95,0;119,0;144,0;9,573529411764707;4,0;29,789473684210527;20,0;1,0;108,0
farashi;2000;215,0;233,0;80,78014896867388;0,7595331361939551;44,0;95,0;119,0;145,0;13,008583690987125;5,0;51,95348837209303;34,0;4,0;153,0
farashi p-value cutoff;100;24,0;25,0;85,39759036144578;0,8438873626373625;15,0;23,0;25,0;25,0;1,6;1,0;4,5;3,0;1,0;14,0
farashi p-value cutoff;500;62,0;66,0;73,54949494949496;0,6578589958311729;18,0;35,0;42,0;48,0;8,787878787878787;3,0;19,20967741935484;13,0;1,0;54,0
farashi p-value cutoff;1000;84,0;90,0;77,78883550674904;0,6916777895879095;20,0;38,0;45,0;57,0;11,966666666666667;5,5;35,76190476190476;20,5;1,0;108,0
farashi p-value cutoff;2000;95,0;101,0;81,12368739515726;0,7602949748551079;20,0;38,0;45,0;57,0;14,623762376237623;7,0;60,83157894736842;39,0;6,0;153,0
DeRycke;100;30,0;37,0;83,76769626769627;0,8308333333333333;23,0;34,0;36,0;37,0;1,7567567567567568;1,0;4,033333333333333;3,0;1,0;14,0
DeRycke;500;78,0;126,0;70,14402025177888;0,6201723743064218;28,0;59,0;74,0;93,0;8,571428571428571;4,0;16,487179487179485;13,0;2,0;62,0
DeRycke;1000;97,0;168,0;71,74107142857143;0,6449594266976456;28,0;60,0;76,0;104,0;12,94047619047619;7,0;28,329896907216494;19,0;3,0;106,0
DeRycke;2000;109,0;191,0;76,9258218497056;0,754710256135018;28,0;60,0;76,0;104,0;15,952879581151832;8,0;51,22018348623853;39,0;9,0;163,0
Teslovich;100;23,0;23,0;74,90118577075098;0,6570393374741201;11,0;17,0;23,0;23,0;2,3043478260869565;2,0;4,826086956521739;3,0;1,0;18,0
Teslovich;500;65,0;68,0;70,81937558622539;0,6062877556406162;16,0;31,0;40,0;55,0;6,720588235294118;5,0;14,553846153846154;11,0;1,0;59,0
Teslovich;1000;81,0;84,0;76,80150388483722;0,6892719026015697;16,0;32,0;42,0;65,0;8,321428571428571;5,5;25,703703703703702;18,0;5,0;98,0
Teslovich;2000;94,0;97,0;81,0074146022465;0,7458160365252078;16,0;34,0;44,0;67,0;11,835051546391753;6,0;46,648936170212764;33,0;5,0;162,0
